mode,image,status,shoulder_width,hand_mouth_distance,hand_mouth_threshold,hand_object_distance,hand_object_threshold
dynamic,322250843_1186131352027654_8128960996329119574_n_jpg.rf.1c767e790100999022b10df009b7d999.jpg,SAFE,,999.0,45,999.0,60
dynamic,322828325_962944021337628_1874479558312964397_n_jpg.rf.e37dc6a31819104bf1f9c5a0f6d97e89.jpg,HAND_TO_MOUTH,149.3854,11.161898,104.569786,999.0,104.569786
dynamic,324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,SAFE,61.275677,126.243484,42.892975,999.0,42.892975
dynamic,325387005_1317387592372410_6343247785253283797_n_jpg.rf.80df179641af6656d33716fda4492a3f.jpg,SAFE,85.059975,113.71133,59.54198,999.0,59.54198
dynamic,325409542_839473773812693_5171051284896275114_n_jpg.rf.7bbcf02183750e5308aaa743707a3912.jpg,OBJECT_TO_MOUTH,178.52072,76.51195,124.9645,999.0,124.9645
dynamic,325600922_530914825682457_6778187626933356332_n_jpg.rf.2f18a5a521db9e4298f1cd424608d219.jpg,SAFE,113.77241,119.310844,79.640686,999.0,79.640686
dynamic,325692500_1191531568457925_6740890655939230611_n_jpg.rf.f126f1e5fb086404e8df91609561adde.jpg,OBJECT_TO_MOUTH,124.384895,64.50908,87.06943,999.0,87.06943
dynamic,325696747_1018803589076238_7331590847631694492_n-1-_jpeg.rf.51431d97eba4e2c2a5d74837a1ccc957.jpg,SAFE,124.82264,128.82536,87.37585,999.0,87.37585
dynamic,325703891_555974033244057_1859569487481249809_n_jpg.rf.6bdfa1106097cace272db91db53a20b7.jpg,SAFE,236.82687,227.15744,165.77881,0.0,165.77881
dynamic,325704532_691962849076031_9101256235223666838_n_jpg.rf.b46f0c7ba1559084bc4755a5bb5e6e3b.jpg,SAFE,280.19388,265.15976,196.13571,0.0,196.13571
dynamic,325707283_3108452296122737_2783769587588717054_n_jpeg.rf.4e663c179f13e85d295ea6fa3ca449b2.jpg,OBJECT_TO_MOUTH,273.92166,139.67627,191.74516,999.0,191.74516
dynamic,325714095_716570453203429_4604342524372054837_n_jpg.rf.f671e39266663339157e6cf3dfbc0edc.jpg,SAFE,134.1978,104.39856,93.93846,0.0,93.93846
dynamic,325714606_1540249309793796_6166275228760654279_n_jpg.rf.8b98b49146bec2edc27df8ff4ea7a21c.jpg,HAND_TO_MOUTH,153.69225,70.642456,107.58457,999.0,107.58457
dynamic,325715180_137293365856420_5222945214288864591_n-1-_jpg.rf.f0ef7e0e1f28bf85e14b689698102e21.jpg,SAFE,106.124695,66.615616,74.287285,0.0,74.287285
dynamic,325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,SAFE,30.755125,62.195026,21.528587,0.0,21.528587
dynamic,325744152_2511328462355171_7357332802287911703_n_jpg.rf.450cc1bc46bce951c0b4abceceff22a2.jpg,SAFE,63.871075,45.047234,44.70975,999.0,44.70975
