Fixed threshold pairwise summary:
  dynamic vs fixed_30: same=110, different=11, same_pct=0.909
  dynamic vs fixed_45: same=108, different=13, same_pct=0.893
  dynamic vs fixed_60: same=109, different=12, same_pct=0.901
  dynamic vs fixed_80: same=107, different=14, same_pct=0.884
  dynamic vs fixed_100: same=103, different=18, same_pct=0.851
  dynamic vs fixed_120: same=98, different=23, same_pct=0.810
  dynamic vs fixed_140: same=95, different=26, same_pct=0.785
  dynamic vs fixed_160: same=87, different=34, same_pct=0.719
  dynamic vs fixed_180: same=83, different=38, same_pct=0.686
  fixed_30 vs fixed_45: same=119, different=2, same_pct=0.983
  fixed_30 vs fixed_60: same=118, different=3, same_pct=0.975
  fixed_30 vs fixed_80: same=116, different=5, same_pct=0.959
  fixed_30 vs fixed_100: same=110, different=11, same_pct=0.909
  fixed_30 vs fixed_120: same=104, different=17, same_pct=0.860
  fixed_30 vs fixed_140: same=98, different=23, same_pct=0.810
  fixed_30 vs fixed_160: same=90, different=31, same_pct=0.744
  fixed_30 vs fixed_180: same=86, different=35, same_pct=0.711
  fixed_45 vs fixed_60: same=120, different=1, same_pct=0.992
  fixed_45 vs fixed_80: same=118, different=3, same_pct=0.975
  fixed_45 vs fixed_100: same=112, different=9, same_pct=0.926
  fixed_45 vs fixed_120: same=106, different=15, same_pct=0.876
  fixed_45 vs fixed_140: same=100, different=21, same_pct=0.826
  fixed_45 vs fixed_160: same=92, different=29, same_pct=0.760
  fixed_45 vs fixed_180: same=88, different=33, same_pct=0.727
  fixed_60 vs fixed_80: same=119, different=2, same_pct=0.983
  fixed_60 vs fixed_100: same=113, different=8, same_pct=0.934
  fixed_60 vs fixed_120: same=107, different=14, same_pct=0.884
  fixed_60 vs fixed_140: same=101, different=20, same_pct=0.835
  fixed_60 vs fixed_160: same=93, different=28, same_pct=0.769
  fixed_60 vs fixed_180: same=89, different=32, same_pct=0.736
  fixed_80 vs fixed_100: same=115, different=6, same_pct=0.950
  fixed_80 vs fixed_120: same=109, different=12, same_pct=0.901
  fixed_80 vs fixed_140: same=103, different=18, same_pct=0.851
  fixed_80 vs fixed_160: same=95, different=26, same_pct=0.785
  fixed_80 vs fixed_180: same=91, different=30, same_pct=0.752
  fixed_100 vs fixed_120: same=113, different=8, same_pct=0.934
  fixed_100 vs fixed_140: same=109, different=12, same_pct=0.901
  fixed_100 vs fixed_160: same=101, different=20, same_pct=0.835
  fixed_100 vs fixed_180: same=97, different=24, same_pct=0.802
  fixed_120 vs fixed_140: same=114, different=7, same_pct=0.942
  fixed_120 vs fixed_160: same=106, different=15, same_pct=0.876
  fixed_120 vs fixed_180: same=102, different=19, same_pct=0.843
  fixed_140 vs fixed_160: same=113, different=8, same_pct=0.934
  fixed_140 vs fixed_180: same=109, different=12, same_pct=0.901
  fixed_160 vs fixed_180: same=117, different=4, same_pct=0.967
