image,scale,mode,status
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.4,dynamic,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.4,fixed_45,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.4,fixed_80,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.4,fixed_140,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.55,dynamic,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.55,fixed_45,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.55,fixed_80,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.55,fixed_140,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.7,dynamic,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.7,fixed_45,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.7,fixed_80,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.7,fixed_140,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.85,dynamic,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.85,fixed_45,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.85,fixed_80,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,0.85,fixed_140,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.0,dynamic,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.0,fixed_45,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.0,fixed_80,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.0,fixed_140,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.2,dynamic,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.2,fixed_45,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.2,fixed_80,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.2,fixed_140,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.45,dynamic,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.45,fixed_45,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.45,fixed_80,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.45,fixed_140,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.75,dynamic,OBJECT_TO_MOUTH
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.75,fixed_45,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.75,fixed_80,SAFE
325779361_697392898585803_1014280073914063136_n_jpeg.rf.62dd7133f4c68f5e7f55164a6bb6654f.jpg,1.75,fixed_140,OBJECT_TO_MOUTH
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.4,dynamic,OBJECT_TO_MOUTH
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.4,fixed_45,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.4,fixed_80,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.4,fixed_140,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.55,dynamic,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.55,fixed_45,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.55,fixed_80,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.55,fixed_140,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.7,dynamic,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.7,fixed_45,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.7,fixed_80,OBJECT_TO_MOUTH
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.7,fixed_140,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.85,dynamic,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.85,fixed_45,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.85,fixed_80,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,0.85,fixed_140,OBJECT_TO_MOUTH
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.0,dynamic,OBJECT_TO_MOUTH
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.0,fixed_45,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.0,fixed_80,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.0,fixed_140,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.2,dynamic,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.2,fixed_45,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.2,fixed_80,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.2,fixed_140,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.45,dynamic,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.45,fixed_45,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.45,fixed_80,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.45,fixed_140,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.75,dynamic,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.75,fixed_45,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.75,fixed_80,SAFE
325717802_3201299213421225_3156402973776784456_n_jpg.rf.b51e13872b5353e175f94e95dc7a9489.jpg,1.75,fixed_140,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.4,dynamic,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.4,fixed_45,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.4,fixed_80,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.4,fixed_140,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.55,dynamic,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.55,fixed_45,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.55,fixed_80,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.55,fixed_140,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.7,dynamic,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.7,fixed_45,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.7,fixed_80,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.7,fixed_140,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.85,dynamic,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.85,fixed_45,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.85,fixed_80,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,0.85,fixed_140,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.0,dynamic,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.0,fixed_45,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.0,fixed_80,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.0,fixed_140,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.2,dynamic,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.2,fixed_45,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.2,fixed_80,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.2,fixed_140,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.45,dynamic,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.45,fixed_45,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.45,fixed_80,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.45,fixed_140,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.75,dynamic,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.75,fixed_45,OBJECT_TO_MOUTH
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.75,fixed_80,SAFE
325830439_1216468435654765_8198123771164846849_n_jpg.rf.6d419a8537ed729228daaf2753c667cf.jpg,1.75,fixed_140,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.4,dynamic,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.4,fixed_45,OBJECT_TO_MOUTH
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.4,fixed_80,OBJECT_TO_MOUTH
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.4,fixed_140,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.55,dynamic,OBJECT_TO_MOUTH
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.55,fixed_45,OBJECT_TO_MOUTH
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.55,fixed_80,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.55,fixed_140,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.7,dynamic,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.7,fixed_45,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.7,fixed_80,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.7,fixed_140,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.85,dynamic,OBJECT_TO_MOUTH
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.85,fixed_45,HAND_TO_MOUTH
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.85,fixed_80,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,0.85,fixed_140,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.0,dynamic,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.0,fixed_45,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.0,fixed_80,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.0,fixed_140,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.2,dynamic,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.2,fixed_45,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.2,fixed_80,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.2,fixed_140,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.45,dynamic,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.45,fixed_45,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.45,fixed_80,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.45,fixed_140,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.75,dynamic,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.75,fixed_45,OBJECT_TO_MOUTH
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.75,fixed_80,SAFE
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,1.75,fixed_140,SAFE
